time,solar,meter_load,building_load,opt_load,opt_load_intplt,inverter_control
2023-01-19 20:00:00,-100.22222222222223,-19258.5154948,-19158.29327257778,3811.3,3811.3,-23069.8154948
2023-01-19 20:15:00,-106.0,-18726.031770826667,-18620.031770826667,4324.3,4324.3,-23050.331770826666
2023-01-19 20:30:00,-106.0,-19522.22838542,-19416.22838542,4781.4,4781.4,-24303.62838542
2023-01-19 20:45:00,-93.0,-19567.526822926666,-19474.526822926666,5420.0,5420.0,-24987.526822926666
2023-01-19 21:00:00,-106.0,-15008.838085933332,-14902.838085933332,6768.6,6768.6,-21777.438085933332
2023-01-19 21:15:00,-106.0,-14207.565950519998,-14101.565950519998,7866.1,7866.1,-22073.66595052
2023-01-19 21:30:00,-106.0,-14774.996549480002,-14668.996549480002,9000.7,9000.7,-23775.696549480002
2023-01-19 21:45:00,-106.0,-14490.560611980001,-14384.560611980001,10553.0,10553.0,-25043.56061198
2023-01-19 22:00:00,-106.0,-13900.6795573,-13794.6795573,12584.0,12584.0,-26484.679557299998
2023-01-19 22:15:00,-106.0,-14068.939388039998,-13962.939388039998,15052.0,15052.0,-29120.93938804
2023-01-19 22:30:00,-106.0,-13679.590885413334,-13573.590885413334,18499.0,18499.0,-32178.590885413334
2023-01-19 22:45:00,-93.0,-13746.801692713334,-13653.801692713334,23075.0,23075.0,-36821.801692713336
2023-01-19 23:00:00,-106.0,-13471.145182306667,-13365.145182306667,29720.0,29720.0,-43191.14518230667
2023-01-19 23:15:00,-93.0,-13697.008138026666,-13604.008138026666,39127.0,39127.0,-52824.008138026664
2023-01-19 23:30:00,-93.0,-13807.247981766664,-13714.247981766664,53610.0,53610.0,-67417.24798176666
2023-01-19 23:45:00,-93.0,-14171.589778653335,-14078.589778653335,86014.0,19468.000000000004,-33639.58977865334
2023-01-20 00:00:00,-106.0,-13626.791992186665,-13520.791992186665,-14674.0,-14674.0,1047.208007813335
2023-01-20 00:15:00,-93.0,-14405.112695306667,-14312.112695306667,-14674.0,-14674.0,268.88730469333314
2023-01-20 00:30:00,-93.0,-13724.55345052,-13631.55345052,-14674.0,-14674.0,949.4465494800006
2023-01-20 00:45:00,-93.0,-13270.81601562,-13177.81601562,-14674.0,-14674.0,1403.1839843800008
2023-01-20 01:00:00,-93.0,-13956.127604166666,-13863.127604166666,-14674.0,-14674.0,717.8723958333339
2023-01-20 01:15:00,-93.0,-14824.203450519999,-14731.203450519999,-14674.0,-14674.0,-150.20345051999902
2023-01-20 01:30:00,-106.0,-14320.307552073333,-14214.307552073333,-14674.0,-14674.0,353.6924479266672
2023-01-20 01:45:00,-93.0,-14763.656575519999,-14670.656575519999,-14674.0,-14674.0,-89.65657551999902
2023-01-20 02:00:00,-106.0,-14011.512044266665,-13905.512044266665,-14674.0,-14674.0,662.4879557333352
2023-01-20 02:15:00,-93.0,-13823.621679679998,-13730.621679679998,-14674.0,-14674.0,850.3783203200019
2023-01-20 02:30:00,-93.0,-13439.594205719999,-13346.594205719999,-14674.0,-14674.0,1234.405794280001
2023-01-20 02:45:00,-106.0,-13544.739388026666,-13438.739388026666,-14674.0,-14674.0,1129.2606119733337
2023-01-20 03:00:00,-106.0,-13372.150260406666,-13266.150260406666,-14674.0,-14674.0,1301.8497395933337
2023-01-20 03:15:00,-106.0,-12977.159505186666,-12871.159505186666,-14674.0,-14674.0,1696.8404948133339
2023-01-20 03:30:00,-93.0,-13891.69440104,-13798.69440104,-14674.0,-14674.0,782.3055989599998
2023-01-20 03:45:00,-93.0,-13919.694466146668,-13826.694466146668,-14674.0,-14674.0,754.3055338533322
2023-01-20 04:00:00,-93.0,-13313.46829426,-13220.46829426,-14674.0,-14674.0,1360.5317057400007
2023-01-20 04:15:00,-93.0,-13609.124544273333,-13516.124544273333,-14674.0,-14674.0,1064.8754557266675
2023-01-20 04:30:00,-100.42857142857142,-13398.579492186665,-13298.150920758095,-14674.0,-14674.0,1275.4205078133346
2023-01-20 04:45:00,-98.06666666666668,-13965.567382806668,-13867.50071614,-14674.0,-14674.0,708.4326171933317
2023-01-20 05:00:00,-98.19999999999999,-13819.849804693333,-13721.649804693332,-14674.0,-14674.0,854.1501953066672
2023-01-20 05:15:00,-95.46666666666665,-13061.687630193333,-12966.220963526666,-14674.0,-14674.0,1612.3123698066665
2023-01-20 05:30:00,-97.26666666666667,-14181.30273438,-14084.036067713334,-14674.0,-14674.0,492.6972656199996
2023-01-20 05:45:00,-98.73333333333332,-14855.1235677,-14756.390234366667,-14674.0,-14674.0,-181.12356770000042
2023-01-20 06:00:00,-97.13333333333334,-17642.347981766667,-17545.21464843333,-14674.0,-14674.0,-2968.3479817666666
2023-01-20 06:15:00,-180.64285714285714,-17805.02382812667,-17624.38097098381,-14674.0,-14674.0,-3131.0238281266684
2023-01-20 06:30:00,-210.6,-18163.368489586668,-17952.76848958667,-14674.0,-14674.0,-3489.368489586668
2023-01-20 06:45:00,1353.6666666666665,-21595.062239586667,-22948.728906253335,-14674.0,-14674.0,-6921.062239586667
2023-01-20 07:00:00,2846.9333333333334,-21198.454296879998,-24045.387630213332,-14674.0,-14674.0,-6524.454296879998
2023-01-20 07:15:00,3742.7142857142853,-16370.777864579999,-20113.492150294285,-14674.0,-14674.0,-1696.777864579999
2023-01-20 07:30:00,10053.066666666666,-15707.473307286667,-25760.53997395333,-14674.0,-14674.0,-1033.4733072866675
2023-01-20 07:45:00,18598.6,-13613.206705726667,-32211.806705726667,-14502.0,-14502.0,888.7932942733332
2023-01-20 08:00:00,27037.8,-6160.052449542666,-33197.85244954267,-12381.0,-12381.0,6220.947550457334
2023-01-20 08:15:00,35477.13333333333,2637.2726888014,-32839.86064453193,-8402.1,-8402.1,11039.3726888014
2023-01-20 08:30:00,43856.13333333333,9618.879687502666,-34237.253645830664,-5819.3,-5819.3,15438.179687502667
2023-01-20 08:45:00,51827.666666666664,14259.379882813335,-37568.28678385333,-3667.0,-3667.0,17926.379882813337
2023-01-20 09:00:00,59289.0,21334.7515625,-37954.2484375,-1394.1,-1394.1,22728.8515625
2023-01-20 09:15:00,66365.06666666667,29041.995312486666,-37323.07135418,1122.8,1122.8,27919.195312486667
2023-01-20 09:30:00,72409.53333333333,42743.36145833333,-29666.171874999993,4445.700000000001,4445.700000000001,38297.66145833333
2023-01-20 09:45:00,77483.33333333333,45774.54869791333,-31708.78463542,7253.599999999999,7253.599999999999,38520.94869791333
2023-01-20 10:00:00,81494.53333333334,49294.46666666667,-32200.066666666673,10154.0,10154.0,39140.46666666667
